 دل نے کمزوری دکھا دی۔
خود ہی فیصلہ کریں گے۔
خیبر پختونخوا بارہ فیصد ہے۔
خیر ایسا ہونا ہی تھا۔
خیر یہ اور بحث ہے۔
خیر، دید آید درست آید۔
دائرے کا سفر کب تک؟
دانہ تو ایک ہی ہے۔
درستی کا یہ عالم ہے۔
درمیانی عمر بھی گزر چکی۔
دس لاکھ کہنا آسان ہے۔
دعا اصلا ایک انفرادی عمل ہے۔
دعوے اگر الہامی نہ ہوں۔
دل افسردہ پڑ جاتا ہے۔
دل دہل جاتا ہے۔
دل میں احساس پھوٹتا ہے۔
دنیا کا راز کیا ہے؟
دنیا کہاں پہنچ گئی ہے۔
دو الزامات سنگین تر ہیں۔
دو باتیں البتہ واضح ہیں۔
دو تین باتیں سمجھنا ضروری ہیں۔
دو تین بڑے مسائل ہیں۔
دو نمبری کا مسئلہ ہے۔
دو ہی باتیں ہوسکتی ہیں۔
دور جمہوریت انکے بعد آیا۔
دوست اجنبی بن گئے ہیں۔
دوسرا سبب سیاسی استحکام تھا۔
دوسرا سماجی ادارہ خانقاہ تھا۔
دوسرا طریقہ سماجی تطہیر ہے۔
دوسرا عامل فرقہ واریت ہے۔
دوسرا فریق کون ہے؟
دوسرا مرحلہ انتخاب کا تھا۔
دوسرا مسئلہ خلط مبحث ہے۔
دوسری اہم وجہ افغانستان ہے۔
دوسرے اُس کے حریف ہیں۔
دوسرے بھی ایسے ہی ہیں۔
دونوں چیزیں ناپید تھیں۔
دونوں کا ناگزیر نتیجہ ایثار ہے۔
دونوں کی اپنی جگہیں ہیں۔
دونوں کی ایک قیمت ہے۔
دکاندار طبقات نے بغلیں بجائیں۔
دھرنا ایک مختلف معاملہ ہے۔
دھرنے سے کیا نکلتا ہے۔
دھرنے کا معاملہ دوسرا ہے۔
دھڑے کی سیاست غالب ہے۔
دہشت اس کا حاصل ہے۔
دہشت گردوں کے ٹھکانے بنے۔
دیر تو ہو جاتی ہے۔
دین اگر سوز دل ہے۔
دین کا کوئی جیّد عالم؟
دین کی ایک تعبیر ہے۔
دیگر اصول بھی وہی ہیں۔
دیگر ممالک میں ایسا نہیں۔
ذات مری، عشق صفت ہے۔
ذرا غور کیجیے، دس فیصد۔
ذوق ، جنسِ بازار تو ہے۔
ذوق کس نے پست کیا؟
رات کے پہر گزرتے گئے۔
رسم تو بہرحال نبھانی ہے۔
رقیبوں نے رپٹ لکھائی ہے۔
رنگ برنگے سٹال آباد تھے۔
روحانیت اسی کا نام تھا۔
روحانیت کیوں حاصل کی جائے؟
رومان کا مقدر یہی ہے۔
روکنے والا کوئی نہیں تھا۔
ریاست ایک جدید ادارہ ہے۔
ریاست حمایت پر مجبور ہے۔
ریلوے تقابلی اعتبار سے بہتر ہے۔
زرداری نے کم مال بنایا؟
زلزلے آتے رہیں گے۔
زمین کون سی ہل گئی۔
زندگی آگے کیسے بڑھتی ہے؟
زندگی بھی تو پشیماں ہے۔
زندگی حادثات سے عبارت ہے۔
زندگی سے اور کیا چاہیے۔
زندگی مسلسل حرکت میں ہے۔
زندگی مفلوج ہو جاتی ہے۔
زندگی ہم پہ بیٹھے ہیں۔
زیادہ کچھ کر نہیں سکتے۔
ساتھ ہی ایک ڈسپنسری ہے۔
سادہ سی دو باتیں ہیں۔
ساری جھاگ بیٹھ چکی ہے۔
ساری چیزیں ایجاد ہوئی ہیں۔
سامان آیا اور نکلا دو نمبر۔
سامنے دیکھ رہے ہوتے ہیں۔
سانس کا رکنا موت ہے۔
سب اپنے دکھائی دیتے تھے۔
سب ایسا ہی کرتے ہیں۔
سب سے مظلوم اسلام ہے۔
سب لوگ جہاں دیدہ ہیں۔
سب نے ایسا ہی کیا۔
سب وقت گزارنا چاہتے ہیں۔
سب پر ہیجان طاری ہے۔
سب کو یہی کرنا چاہیے۔
سب کچھ ہوا میں ہے۔
سب ہیجان میں مبتلا ہیں۔
سر افگندہ یا سر بکف؟
سردی موخر ہو رہی تھی۔
سروے چھوڑیں ریفرنڈم کروا لیں۔
سزا اورعدالتوں کا سامنا کریں۔
سعد رفیق بطور وزیرِ ریلوے آتے ہیں۔
سعد رفیق سیاسی کارکن ہیں۔
سفر بہت آرام دہ رہا۔
سلطنت بھی ایک نہ رہی۔
سماج ایک مستقل اکائی ہے۔
سماج کی روایات برباد ہوئیں۔
سماجی انصاف کیسے ممکن ہے؟
سماجی دباؤ اسی کا نام ہے۔
سمگلنگ اس کے علاوہ ہے۔
سنجیدہ بات بھی کرتے ہیں۔
سندھ میں تو لگتا ہے۔
سندھ میں پیپلز پارٹی ناگزیر ہے۔
سو دیکھیں کیا ہوتا ہے۔
سوئی ایک جگہ پھنسی ہے۔
سوال دو ہی اہم ہیں۔
سوال لیکن ترجیح کا ہے۔
سوال کچھ اور بھی ہیں۔
سوال ہی پیدا نہیں ہوتا۔
سوالات اور بھی بہت ہیں۔
سوانح عمری کو ضرور پڑھنا چاہیے۔
سوشلزم ایک رومانوی تصور ہے۔
سٹیج پہ اور اداکار آئیں۔
سیاست اسی کا نام ہے۔
سیاست اقتدار کا کھیل ہے۔
سیاست امکانات کا کھیل ہے۔
سیاست ایک جاری عمل ہے۔
سیاست ایک پیچیدہ عمل ہے۔
سیاست بڑی عجیب چیز ہے۔
سیاست دان تو جیسے ہیں۔
سیاست دان متنازعہ ہوتا ہے۔
سیاست میں جو کچھ تھے۔
سیاست کل وقتی کام ہے۔
سیاست کھیل ہی ایسا ہے۔
سیاسی اتحاد اگر ناگزیر ہے۔
سیاسی عدم استحکام رہے گا۔
سیاسی مخالفین پر اتنا غصہ؟
شاعری ہمارا مضبوط نکتہ ہے۔
شاپروں کا یہ حال ہے۔
شاہ صاحب اور نظریاتی سیاست؟
شاید انہیں فرصت نہیں ملی۔
شاید حالات زیادہ بدتر ہیں۔
شفافیت میں اضافہ ہوا ہے۔
شوال میں داخل ہوتے ہیں۔
شواہد پریشان کن ضرور ہیں۔
شکایت نفرت کو ابھارتی ہے۔
شکم کے مطالبات سخت ہیں۔
شہباز شریف سیاست دان ہیں۔
شہباز شریف کے پاس ہے۔
شہر کے لوگ توظالم ہونگے۔
شہسواروں کے پاس لگتا ہے۔
شیخ مجیب الرحمن ہدف تھا۔
شیعوں کے اپنے مفادات تھے۔
صبح کے سات بجتے تھے۔
صحافت تاریخ نگاری بھی ہے۔
صحت جرم سے کوئی انکار نہیں۔
صحت پاکستان کی ترجیح نہیں۔
صدر بش بھی مسیحی تھے۔
صرف انہیں سبق سکھانا تھا۔
صرف اچھی نہیں ناگزیر ہے۔
صرف اکڑ خان نہیں تھے۔
صرف صدر ممنون حسین تھے۔
صرف پنجاب میں ایسا نہیں۔
صرف کینسر ہی کے لاکھوں مریض ہیں۔
صفائی کا معقول انتظام تھا۔
ضیاالحق مر حوم ممکن ہے۔
طاقت کے جتنے مراکز ہیں۔
طاقتور تو ہوتی ہی ہیں۔
طرز حفیظ خان کی ہے۔
طویل انتظار کب ختم ہوگا؟
ظاہرہے وہ سب پنجابی تھے۔
ظفراللہ جمالی یاد آتے ہیں۔
عارف انیس آگے بڑھتا گیا۔
عام آدمی دیوتا ہوتا ہے۔
عبادت گاہیں غیر محفوظ ہیں۔
عباسیوں کا اقتدار استبدادی تھا۔
عجب سی کہولت طاری تھی۔
عجیب زعم میں مبتلا ہیں۔
عدالتوں میں فیصلے ہوتے ہیں۔
عدالتی فیصلہ واقعی کمزور تھا۔
عدالتیں بھی آزاد نہیں تھیں۔
عدلیہ بھی موضوع بنے گی۔
عدلیہ سے بھی معاملہ تھا۔
عراق پہ حملہ ہوتا ہے۔
عقل دنگ رہ جاتی ہے۔
عقل کی بات کیا ہے؟
عمر کا تقاضا بتاتی ہیں۔
عمر ہ نفلی عبادت ہے۔
عمران اب کیا کریں گے؟
عمران خان انتہا کردیں گے۔
عمران کی سیاست سامنے ہے۔
عملی طور پر کیا ہوا؟
عوام امنڈ آتے ہیں۔
عوام نوازشریف کے ساتھ ہیں۔
عوام کا بھلا ہو گا۔
عوامی امنگیں کچلی جاتی رہیں۔
غارت میں پڑی ہوئی ہے۔
غزوہ بدر عام جنگ تھی۔
غصہ دونوں کی نفی ہے۔
غلطیاں قیادت سے ہوتی ہیں۔
غور کرنے کا مقام ہے۔
فتح اللہ گولن کون ہیں؟
فراموشی کا یہ عالم کیوں؟
فرانسیسیوں کا مشہور مقولہ ہے۔
فرق البتہ بہت گہرا تھا۔
فرق نمایاں ہونا چاہیے۔
فرقہ واریت کی نئی دستک؟
فضول بحثوں میں پڑے رہتے ہیں۔
فقط وقت کی بات ہے۔
فقہ میں دونوں حنفی ہیں۔
فوج ایک ریاستی ادارہ ہے۔
فوج نے بہت غلطیاں کیں۔
فوج کا ساتھ دینا چاہیے؟
فوج کسی کا متبادل ہے؟
فوج ہمارا اپنا ادارہ ہے۔
فوٹو البتہ کمال کی تھی۔
فیصلہ اب ہمارے سامنے ہے۔
فیصلہ ساز اگر چاہیں گے۔
فیصلہ کون نہیں مانے گا؟
فیض صاحب پابند سلاسل رہے۔
قائداعظم کو اس کا اندازہ تھا۔
قانون بلا شبہ اہم ہے۔
قانون جب منصب دیتا ہے۔
قانون پہلے سے موجود تھا۔
قبیلے کی عصبیت برقرار ہے۔
قدرت جب محاسبہ کرے گی۔
قدرت کا بھی نظام دیکھیے۔
قرآن مجید کی کوئی آیت؟
قرارداد مقاصد پر اعتراضات کیوں؟
قراردادمیں دو باتیں کی گئی ہیں۔
قلم کے بھی دھنی تھے۔
قوم میں تو خوبیاں ہوں۔
قوم کا کیا بنے گا؟
قوم کا کیا حال ہے۔
قوم کو دو فیصلے کرنے ہیں۔
قوم کے گناہ تو ہوں۔
لاؤڈسپیکر اور مخصوص تنگ نظری۔
لاہور میں فلمیں بنتی تھیں۔
لاہور کے مسائل کیا ہیں۔
لبرل ازم رویہ بھی ہے۔
لندن، پیرس وغیرہ کو چھوڑئیے۔
لوٹ کے آنے والی نہیں۔
لوگ ہجرت کیوں کرتے ہیں؟
لوگوں سے دلیل مانگتے تھے۔
لوگوں کو حیرت ہوتی ہے۔
لوگوں کو ذہنی سکون چاہیے۔
لہذا وہی پارسائی کا واویلا۔
لہذا کچھ سبق سیکھنے چاہئیں۔
لہریں ساحل کی طرف بڑھتی ہیں۔
لیلی خالد بھی مسیحی تھی۔
لیڈر صرف حکمران نہیں ہوتا۔
لیڈر عصبیت سے بنتا ہے۔
لیڈران آتے اور جاتے تھے۔
لیکن آگے کیا ہونا ہے۔
لیکن آیا کہاں سے؟
لیکن اس کا فائدہ کیا؟
لیکن اسلوب سے پہنتے تھے۔
لیکن انہونی جو ہونی تھی۔
لیکن انہونی نے ہونا تھا۔
لیکن اگر گزارہ کرنا ہے۔
لیکن ایسا نہ کیا گیا۔
لیکن ایسا نہ ہوا۔
لیکن ایسا نہیں ہوا۔
لیکن ایسا کبھی نہیں ہوتا۔
لیکن ایسا کرنا آسان نہیں۔
لیکن ایسا کچھ نہیں ہوا۔
لیکن ایسا ہرگز نہیں ہے۔
لیکن ایک بات واضح ہے۔
لیکن بات مزاج کی ہے۔
لیکن بس ٹھاٹ ہی ہے۔
لیکن بنیادی سوال وہی ہے۔
لیکن جب ایکشن لینا تھا۔
لیکن جلسہ کرنے کہاں گئیں؟
لیکن جو کمال کرتے ہیں۔
لیکن جیسا ہم جانتے ہیں۔
لیکن لینا دینا کچھ نہیں۔
لیکن مایوس نہیں ہونا چاہیے۔
لیکن میں شکر گزار ہوں۔
لیکن وہ تقاضے کیا ہیں۔
لیکن پردہ نہ ہٹایا گیا۔
لیکن پھر فوری الیکشن ہوں۔
لیکن پھر کیا ہو گا؟
لیکن کرنے کو کچھ نہیں۔
لیکن کیا جامع انداز تھا۔
لیکن ہم جو ہیں۔
لیکن یہ الگ موضوع ہے۔
لیکن یہ بھی حقیقت ہے۔
لیکن یہ تلخ باتیں ہیں۔
لیکن یہ تو شروعات ہے۔
لیکن یہ سب باتیں ہیں۔
لیکن یہ نئی صورتحال ہے۔
لیکن یہ ہو تا ہے۔
ماضی میں یہ بادشاہ تھے۔
مبالغہ شاعری کا وصف ہے۔
متبادل کہاں سے آئے گا؟
متفرق نظام تعلیم ختم ہو۔
مجھے اس میں شبہ ہے۔
مجھے حیرت ہو تی ہے۔
محافظ دائیں بائیں ہوتے ہیں۔
محبت جب بوئی جاتی ہے۔
محض الزام کی بنیاد پر؟
مدارس اور دین مترادف ہیں۔
مدرسہ تعلیم کے لیے تھا۔
مذہب آئیڈیل کی تلاش ہے۔
مذہب اس وقت بھی تھا۔
مذہب عصبیت نہیں، ہدایت ہے۔
مذہب کا جوہر کیا ہے؟
مرہٹے مضبوط ہو چکے تھے۔
مریم اب میدان میں ہیں۔
مزید بتوں نے گرنا ہے۔
مزید بھی رہ سکتے ہیں۔
مسئلہ اب عدالت میں ہے۔
مسئلہ اداروں کی تطہیر ہے۔
مسئلہ وہی گورننس کا ہے۔
مسئلے کی جڑ کہاں ہے؟
مسائل کی ایک سطح ہے۔
مسلم معاشرہ کسے کہتے ہیں؟
مسلمان ایسے ہی ہوتے ہیں۔
مسلمان ایک اسم صفت ہے۔
مشرف کور کمانڈر منگلا تھے۔
مشرق سبز ہے
مشرق سرخ ہے
مشکل فیصلے اگر لیے ہیں۔
معاشرہ بری طرح منقسم ہے۔
معاشرہ منصفانہ نہ بن سکا۔
معاشی ترقی وہیں ممکن ہے۔
معاشی حالات بھی اچھے نہیں۔
معاشی حالات تو خراب تھے۔
معاملات مزید پیچیدہ ہوتے ہیں۔
معجزوں پہ سیاست نہیں ہوتی۔
معجزہ جو رونما ہونا تھا۔
معلوم نہیں کس حیثیت میں؟
معیشت برباد ہو تی ہے۔
معیشت قدرے مستحکم ہوئی ہے۔
معیشت نے مزید سکڑنا ہے۔
مغرب میں یہی ہوا ہے۔
مفہوم بہرحال یہی تھا۔
مقدمہ گزر ہی جائے گا۔
مقننہ پر یہ قابض ہیں۔
ملائشیا پیدا نہ ہوا تھا۔
ملک کون چلا رہا ہے؟
من مانی بھی کرتی ہوں۔
منی میں حادثہ کیوں ہوا؟
موجود سڑکیں کیوں خراب ہیں؟
موجود ہ لوگ جو ہیں۔
موجودہ صورتحال ہی دیکھ لیجیے۔
موسموں نے کیا بدلنا ہے۔
موسیقی بھی ڈھنگ کی ہو۔
موقع بھی آن پہنچا ہے۔
مولانا بہرحال شیخ الاسلام نہیں۔
مولانا کی تشہیر ہونی تھی۔
مک بیتھ بھی سمجھتا تھا۔
مگر تاریخ بے رحم ہے۔
میخانوں سے شہر بھرا پڑاہے۔
میخانے آباد ہوتے ہیں۔
میدان عمل اصلا سماج ہے۔
میرا احساس یہ بھی ہے۔
میرا جواب اثبات میں ہے۔
میرا جواب نفی میں ہے۔
میرا ذاتی دکھ یہی ہے۔
میرا میدان تو تجزیہ ہے۔
میرا وجود سراپا دلیل ہے۔
میرا کہنا تو یہی ہے۔
میری الجھن بھی یہی ہے۔
میرے لیے ویسی ہو گی۔
میرے نزدیک دونوں توام ہیں۔
میرے نزدیک مسائل دو ہیں۔
میرے کاندھوں پہ دھرا ہے۔
میونسپل نظام مضبوط ہونا چاہیے۔
میڈیا کا بھی قصور نہیں۔
میں اس پر سوچتا ہوں۔
میں اسے فطری سمجھتا ہوں۔
میں اپنی تجویز دہراتا ہوں۔
میں اگر کچھ کہوں گا۔
میں ایک مذہبی آدمی ہوں۔
میں بھی وہاں موجود تھا۔
میں بھی یہی کہتا ہوں۔
میں لارنس کالج میں تھا۔
میں نے اتفاق نہیں کیا۔
میں وہیں نماز پڑھتا تھا۔
میں پوٹھوارکا رہنے والا ہوں۔
میں کیوں فون کرتا پھروں۔
میں یہ سب پڑھتا ہوں۔
ن لیگ اب کیا کرے؟
ن لیگ کمزور ہوتی ہے۔
نئی سوچ بھی درکار ہے۔
نئی سیاسی قوت کی ضرورت؟
نئی صف بندی ہورہی ہے۔
نئی لغت کہاں سے آئی؟
نئے کپڑے بھی پہنیں گے۔
ناامیدی اگر پھیل رہی ہے۔
نااہلوں کو ہم دیکھ چکے۔
ناں ناں ، احتیاط کیجیے۔
نتیجہ الٹا نکل رہا ہے۔
نتیجہ مختلف نہیں ہو سکتا۔
نسیم طالب لبنانی نثراد ہیں۔
نصف صدی کی دوستی تھی۔
نواز زرداری بھائی بھائی ہیں۔
نواز شریف بری ہوتے ہیں۔
نواز شریف وزیر اعظم تھے۔
نواز شریف یا راحیل شریف؟
نوازشریف ایک سیاست دان ہیں۔
نوشتہ دیوار کسے کہتے ہیں؟
نون لیگ جیت جاتی ہے۔
نون لیگ سے تعلق تھا۔
نون لیگ کامخمصہ کیا ہے؟
نون لیگ کی حیات نو؟
نوکری چھوڑ کے آئے تھے۔
نپولین کی مثال بھی ہے۔
نہ اسلام خطرے میں تھا۔
نہ اسلحے کی کمی تھی۔
نہ بد زبان ہوتا ہے۔
نہ سینڈوچ نہ کچھ اور۔
نہ صرف آواز دلکش ہے۔
نہ صرف بارڈر نرم ہوں۔
نہ لاہور اور نہ ہی کراچی میں۔
نہ ملک کی عزت کا۔
نہ وہ مزاحمتی جماعت ہے۔
نہ ٹیلی فون، نہ بجلی۔
نہ پی پی پی میں۔
نہ کسی حدود کی پروا۔
نیب ریفرنسز ہی کافی ہوں۔
والدہ بھی قرآن پڑھاتی تھیں۔
واہ کیا اچھا تجزیہ ہے۔
وجہ پوچھی تو ٹال گئیں۔
وحشت اب بوریت سے ہے۔
وردی پہنے افسران وہاں آتے۔
ورنہ باقی سب کہانیاں ہیں۔
وزراء تو چپ ہی ہیں۔
وزیر اعظم بینظیر بھٹو تھیں۔
وزیر خارجہ امریکہ جاتے ہیں۔
وسائل کس نے فراہم کیے؟
وقت ایک بہتا دریا ہے۔
وہ آزادی کا ماحول ہے۔
وہ اب بھی ہوتا ہے۔
وہ اب موجود نہ تھا۔
وہ اتنا سادہ نہیں ہے۔
وہ ادھر کا رہتا ہے۔
وہ اس کی ضرورت ہے۔
وہ اس کے خالق تھے۔
وہ اسے غلامی کہتے ہیں۔
وہ اشتراکیت قصہ پارینہ ہے۔
وہ انسان دوستی کااستعارہ ہے۔
وہ انٹرویو بڑا دلچسپ ہے۔
وہ انگریزوں کا ورثہ تھا۔
وہ انہیں گھٹیا سمجھتے ہیں۔
وہ اور کچھ ہو تو ہو، جلد باز نہیں ہے
وہ اپنی مثال آپ ہے۔
وہ اگر دیوبندی نہیں تھے۔
وہ اگر ڈیل کریں گے۔
وہ ایسا کر نہیں سکتے۔
وہ ایسا کر گزرتے ہیں۔
وہ ایسے ہی رہیں گے۔
وہ ایک فیصلہ دیتی ہے۔
وہ بس ایسے ہی ہیں۔
وہ بندہ اور غلام ہے۔
وہ بڑے خوش لباس تھے۔
وہ بھی اکثر شاموں کو۔
وہ بھی ایٹمی قوت ہے۔
وہ بھی صحیح نہیں ملتا۔
وہ بھی مسلمان ملک ہے۔
وہ بھی پوری ہو جائے۔
وہ بھی گول کر گئے۔
وہ بہرحال افواج کا نہیں۔
وہ تو بالکل عبث ہے۔
وہ ثبوت اور یہ ہے۔
وہ جو کچھ کہتی ہے۔
وہ حافظ قرآن بھی تھے۔
وہ درمیانے درجے کے ہیں۔
وہ دل کو سمجھاتا ہے۔
وہ دکان میں بیٹھتا ہے۔
وہ دھڑلے کے آدمی تھے۔
وہ دیوبندی علما ہیں۔
وہ دیکھنے میں نہیں آئی۔
وہ ذوالفقار علی بھٹو ہیں۔
وہ رونے والے کہاں گئے؟
وہ سلیکشن بورڈ میں تھے۔
وہ سینگ تبدیل کرتا ہے۔
وہ شگاگو ٹریبیون کی نمائندہ تھیں۔
وہ ضیاالحق کے جرنیل تھے۔
وہ ظاہر ہو چکی ہیں۔
وہ قریبی گلی میں مکین ہے۔
وہ قیمتی محل وقوع ہے۔
وہ لبرل جامعات کہلاتی ہیں۔
وہ لوٹ سکیں گے؟
وہ ماحول اب رہا نہیں۔
وہ مجھے گھر ملنے آئے۔
وہ معذرت کر رہی ہے۔
وہ مقبول عوامی راہنما ہیں۔
وہ نارمل حیثیت کے ہوں۔
وہ ناکام ہو چکا ہے۔
وہ نقطہ نظر کہاں ہے؟
وہ نہیں ہو پا رہی۔
وہ واپس لی جائیں گی۔
وہ وقت کب آئے گا؟
وہ ویسے ہی رہیں گے۔
وہ پاپولزم"" کا نتیجہ ہیں۔"
وہ چونکا دینے والا ہے۔
وہ چہرہ، دھڑک اٹھا تھا۔
وہ ڈھکی چھپی بات نہیں۔
وہ کشمیریوں کے دشمن ہیں۔
وہ کوئی کوئی ہوتا ہے۔
وہ کون سے معاشرے ہیں۔
وہ کہاں سے آئے گی؟
وہ کہیں اور نہیں ملتے۔
وہ کہیں نظر نہیں آتی۔
وہ کیا کر رہے ہیں؟
وہ کیا کر رہے ہیں۔
وہ کیونکر پڑھیں گے۔
وہ ہمارے مرہون احسان تھے۔
وہ ہمارے ہاں نہیں ہے۔
وہ ہمدردی کے مستحق ہیں۔
وہ ہمیں اچھی لگتی ہیں۔
وہ ہو کے رہتی ہے۔
وہ یہ نہ کر سکے۔
وہ یہ کر چکے ہیں۔
وہ یہاں نہیں چل سکتے۔
وہ یہی ہستی ہے۔
وہاں بھی بس کھانا ہے۔
وہاں جذبات کی حکمرانی ہے۔
وہاں مسلمان نہیں پائے جاتے؟
وہاں کوئی آسمان نہیں گرا۔
وہی نام نہاد "الیکٹیبل"
وہی کاٹا جا تا ہے۔
وہیں اطاعت کو بہتر سمجھا۔
وہیں سے مل سکتے ہیں۔
وہیں پہ پھنسی ہوئی ہے۔
ویسی صورتحال اب نہیں رہی۔
ویسے دیگر اپوزیشن جماعتیں ہیں۔
ویسے ہی نہیں ہو رہا۔
ویٹیکان کا اپنا بینک ہے۔
ٹرپل ون بریگیڈ حرکت میں نہیں آئی۔
ٹریفک معطل ہو جاتی ہے۔
ٹریفک کا نظام بہتر ہو۔
ٹریفک کیوں رکی ہوئی ہے؟
پارلیمانی روایات سے واقف ہیں۔
پارلیمنٹ غیر موثر ہو گی۔
پارٹیوں اور لیڈروں کا حال۔
پاناما کیس بعد میں ابھرا۔
پاکستان اسے مانتا نہیں تھا۔
پاکستان ایک ایٹمی قوت ہے۔
پاکستان ایک تاریخی واقعہ ہے۔
پاکستان میں سماجی آزادی ہے۔
پاکستان میں ہر چیز دستیاب تھی۔
پاکستان نے انتخاب کرنا ہے۔
پاکستان چین کا دوست ہے۔
پاکستان کو آگے بڑھنا ہے۔
پاکستان کو مضبوط کرنا ہے۔
پاکستان کی یا کسی اور کی؟
پاکستان کیا کر سکتا تھا؟
پاکستان کے حکمران کرپٹ ہیں۔
پاکستان کے مسائل گمبھیر ہیں۔
پبلک مقامات غیر محفوظ ہیں۔
پر ایسی باتیں کون سمجھے؟
پر بات بن نہیں رہی۔
پر عمل ذرا ہٹ کے ہے۔
پرانا سا ایک مکان تھا۔
پردہ اٹھنے کی منتظر ہے۔
پرندے اڑنے لگتے ہیں۔
پرنسپل صاحب سے رجوع کیجئے۔
پرنسپل کا بھی کمال دیکھیے۔
پرویز رشید بھی لگتا ہے۔
پرویز مشرف جلد باز تھے۔
پنجاب میں ایسی صورتحال نہیں۔
پنجاب میں داخل ہوتے ہیں۔
پنجاب میں صورتحال مختلف تھی۔
پنجابیوں کے کمالات بہت ہیں۔
پورے ملک میں پیٹا گیا۔
پولیس پہ بھی رونا ہے۔
پولیس کی دوڑیں لگ گئیں۔
پوپ امن کے داعی ہیں۔
پچھلے ہفتے ڈرائیور بیمار تھا۔
پڑھیے کیا اور سنیے کیا؟
پھر اس کے بعد احتجاج؟
پھر اسی طرح فیصلے ہوں۔
پھر انہیں ایک ترکیب سوجھی۔
پھر انہیں ضمانت مل گئی۔
پھر بھی کپتان ناکام ہے۔
پھر جانا ہی پڑے گا۔
پھر جب کھانا لگتا ہے۔
پھر دوسری بات ہے۔
پھر سوال اٹھیں گے۔
پھر عدالتیں بھی آزاد ہیں۔
پھر فکر کس بات کی۔
پھر وارث کون ہے؟
پھر وہ خود وقت ہے۔
پھر گزر ہو جاتی ہے۔
پھر یہ ماجرا کیا ہے؟
پھر یہ ملک جمہوریہ ہے۔
پھر یہ پارلیمان کیوں ہے؟
پھر یہ کون ہیں؟
پھر یہ ہیجان کیوں ہے؟
پہلا قدم تو اٹھانا ہے۔
پہلا نکتہ وضاحت طلب ہے۔
پہلا چیلنج کیمونزم کا تھا۔
پہلی شرط ذہنی آزادی ہے۔
پہلے جنون چڑ ھا تھا۔
پہلے فائر ہوئے اور پھر دھماکہ ہوگیا۔
پیغمبر تو داعی ہوتے ہیں۔
پیپلز پارٹی سندھ تک محدود ہے۔
چار پاکستانی کہیں اکٹھے ہوں تو تنظیم بنا لیتے ہیں۔
چاہے کچھ بھی سہنا پڑے۔
چند ایک یقینا ایسے ہوں۔
چند جملوں میں کہہ دیا۔
چند دلکش چہرے بھی تھے۔
چوتھا نظریہ "سماجی اسلام" ہے۔
چھوڑیں ان باتوں کو۔
چہر ہ مسخ ہونے میں۔
چیف ایگزیکٹو یا ایک فدوی؟
چیف جسٹس نے کہا: نہیں۔
چین کو اگر دلچسپی ہے۔
چینیوں کا یہ نعرہ تھا۔
ڈاکٹر فاروق خان یاد ہیں؟
ڈونلڈ ٹرمپ کو دیکھ لیجیے۔
ڈکٹیشن نہیں لوں گا۔
کئی توگرین بیلٹ پر ہیں۔
کئی ریکارڈنگز 1930-35ء کی ہیں۔
کا انحصار اسی پر ہے۔
کا زیادہ احساس دلائیں گی۔
کاروبار مملکت کیسے چلے گا؟
کارڈ کھیل دیا۔
کالم بھی مکمل کرنا ہے۔
کامیاب بھی ہو سکتے ہیں۔
کبھی اِدھر اُدھر نہیں بھٹکے۔
کبھی ایسا ہو تا تھا۔
کبھی میں پر امید تھا۔
کبھی یہاں جا رہے ہیں۔
کتاب ختم ہونے کو ہے۔
کتاب کا عنوان ممکن ہے۔
کتابیں جمع ہو جاتی ہیں۔
کتابیں وہ پڑھتا تو تھا۔
کتنی غیر ملکی جائیدادیں ہیں۔
کتنی چیزوں سے بچ نکلے۔
کتنے لوگ پنجاب میں ہوں۔
کتنے پانی میں ہیں۔
کراچی میں امن آیا ہے۔
کراچی کا معاملہ مختلف ہے۔
کردار بھی نئے ہوں۔
کرنے کو بہت کچھ ہے۔
کرپشن، نااہلی اور عدم استحکام؟
کرکٹ سے پھر مایوسی کیسی؟
کرکٹ ٹیم سے مایوسی کیوں؟
کس عزم کا اظہار ہوا؟
کس نے ایسا کرنا تھا؟
کسی انہونی سے کم نہیں۔
کسی اور جماعت میں نہیں۔
کسی بے کس کا علاج؟
کسی کو معلوم نہیں ہوتا۔
کسی کے خلاف مقدمہ چلا؟
کشکول اٹھائے پھر رہے ہیں۔
کل اسلام آباد جانا ہے۔
کلاسیکی ڈانس کہاں دیکھا جائے؟
کلیدی حیثیت اوروں کی ہے۔
کمیونزم کی اصل یہی ہے۔
کوئی الٹ پلٹ نہیں ہوئی۔
کوئی جانی نقصان نہیں ہوا۔
کوئی خدا کو مانتا ہے۔
کوئی فالتو لفظ نہیں ملتا۔
کوئی لیڈر دائمی نہیں رہتا۔
کوئی مذمت بھی کرتا ہے۔
کوئی نکتہ دہرایا نہیں گیا۔
کوئی وطن میں مست ہے۔
کوئی پوچھنے والا نہ تھا۔
کوئی چیز خطرے میں نہیں۔
کوئی ہے جو اسے پہچانے؟
کوئی ہے جو غور کرے؟
کوئی ہے جو کان لگائے؟
کون اس کے پیچھے تھا؟
کون ان سے مرعوب ہوگا۔
کون بے حس ہو گا۔
کون کس کا محتسب ہے؟
کچرا صاف ہو رہا ہے۔
کچرا ہم اٹھا نہیں سکتے۔
کچھ اپنی سبزی اگائی جائے۔
کچھ بات کرنا پڑے گی۔
کچھ بھی ہو سکتا ہے۔
