! ٭٭٭ گریباں گیر برسوں بعد میں نے اسے شہر کے ایک معمولی ہوٹل میں داخل ہوتے ہوئے دیکھا۔
! کو پوچھا تو کاؤنٹر والی لڑکی نے متعلقہ آفس سے کمپیوٹر مشین (جو ٹائپ رائٹر کی طرح ہوتی ہے۔
!! اک خواب وہی تو تھا جو ٹوٹ گیا آخر پل بھر میں گنوا بیٹھا اک عمر کا حاصل تھا۔
!مارچ ء کے دن مولانا خواجہ حسن نظامی کے ہمراہ نواب صاحب نے پہلی بار علامہ اقبال سے ملاقات فرمائی۔
اردو کے بارے میں اعجاز احمد کا نقطۂ نظر اردو کے معروف فکشن رائٹر انتظار حسین کے بالکل برخلاف ہے۔
اردو کے بے شمار نقاد اور محققین آج تک بھی ان ہی خارجی معاملات کو اہمیت کے حامل سمجھتے ہیں۔
اردو کے معاملے میں کچھ مشکلات تو ہماری زبان کے حروف کی تعداد ہے جو انگریزی سے کہیں زیادہ ہے۔
اردو کے معتبر اہل نظر میں بہت کم ہی کسی نے ہجرت کے بین الاقوامی تناظر کی بات کی ہے۔
اردو، اور ہندی کی مثالیں دینے کے بعد " ہندوستانی " کے عنوان سے جو عبارت انھوں نے لکھی ہے۔
اردگرد اس کے کوئی حلقۂ تابوت نہیں نہ کسی پکڑے نہ چادر میں لپیٹا ہم نے اس طرح لیٹا ہے۔
ارسطو 384)تا 322 قم( اگرچہ نظم و ضبط، تناسب، قطعیت اور تعین کو حسن کے لازمی اجزا خیال کرتا ہے۔
ارسطو نے قانون بناتے وقت کبھی تو اپنے نفرت و کینہ کا اظہار " جو اس کو افلاطون سے تھا۔
ارسطو، ڈارون، مارکس یا سقراط، بقراط، سوال یہ ہے کہ ان میں سے کس کی اور کونسی تعریف صحیح ہے؟
ارشاد رب العزت ہے: الْخبیْثات للْخبیثیْن والْخبیْثون للْخبیْثات والطّیّبات للطّیّبین والطّیّبون للطّیّبات أوْلئک مبرّئوْن ممّا یقوْلون لہمْ مّغْفرۃ وّرزْقٌ کریْمٌ۔
ارشاد رب العزت ہے: فإنْ لّمْ یکوْنا رجلیْن فرجلٌ وّامْرأتان ممّنْ ترْضوْن من الشّہداء أنْ تضلّ إحْداہما فتذکّر إحْداہما الْأخْری۔
ارشاد ربانی ہے: ولا تکْتمواْ الشّہادۃ ومن یکْتمْہا فإنّہ آثمٌ قلْبہ. "اور گواہی کو مت چھپاؤ، جو اسے چھپائے گا۔
ارشاد ہوا: تیرے لیے نشانی یہ ہے کہ نہ بات کر سکے گا تو لوگوں سے تین رات (دن) مسلسل۔
ارشاد ہوگا: تم (وہاں) نہیں ٹھہرے مگر بہت ہی تھوڑا عرصہ، کاش! تم (یہ بات وہیں) جانتے ہوتے 115۔
ارشد ملک اپنی منزل جلد پا لے تا کہ آنے والا وقت اس کے قلم سے معجزوں کا ظہور دیکھے۔
ارشد ملک مگر ایسے طلب میں اس کی زمانے کو ہارنا ہوگا دو شعر محبت فرض ہوتی جا رہی ہے۔
ارض حجاز مکہ اور مدینہ کے معاملے میں دنیا بھر کے مسلمان، گنہگار ترین مسلمان بھی بے حد جذباتی ہیں۔
ارمتیہ کا رہنے والا یوسف آیا جو عزت دار مشیر اور خود بھی پروردگار کی بادشاہی کا منتظر تھا۔
اری نوج ماری شرما کیا رہی ہے، یہ بات دھیان میں رکھ لے و رنہ پھر بعد میں پچھتاوے گی'۔
اریک بھائی نے اسے دیکھ کر خوشی ظاہر کی مگر محمد علی بھائی کے چہرے پر "سرد مہری" پسری رہی۔
اریک ہیسٹنگز تھوڑا سا محمد علی بھائی کے کالے مٹ میلے، کھردرے ہاتھوں کو بڑھا دیکھ کر تھوڑا ٹھٹھکا تھا۔
ارے -------- گفتگو کے درمیان تمہیں چائے ناشتہ کے بارے میں پوچھنا ہی بھول گئی-------- ٹھہرو-------- میں چائے بناتی ہوں۔
ارے محترم جعفر" سقے نے جھجکتے ہوئے کہا "آپ اپنے کو میری مدد کے بغیر نہیں بچا سکتے تھے۔
ارے پنا لال جرا دگمبر بھیا کو بڑھیا مسالہ دار پان تو کھلا!'' مکٹ بہاریبساط پر پیدل بڑھاتے ہوئے کہتے۔
ارے کیا پوچھ بیٹھے ہو یہاں پر کام کیا چوروں اچکوں کا وہ رشوت دیتے ہیں اور چھوٹ جاتے ہیں۔
از او سؤ ال نکرد، بلکہ صبر کرد تا اینکہ فہمید داوود علیہ السلام بہ وسیلہ آن آہن، زرہ ساخت۔
از راہ تملق وچاپلوسی اور اظہار تواضع لوگوں پر اثر ڈالنے کے لئے دنبوں کی کھال کا لباس پہنیں گے۔
ازدواجی تعلقات میں جب مرد اپنا مادہ خاتون کے جسم سے باہر خارج کرے تو اسے عزل کہا جاتا ہے۔
ازل ہی سے طئے انبیاء کی طرح آپ اٹھائے گئے آپ نے اف نہ کی خیر ؔ اپنا عقیدہ ہے۔
اس "سچائی" کے انکشاف کے دوران تمام ابواب کو لفظ بہ لفظ رقم کرنا یقینا ایک دشوار کن مرحلہ ہے۔
اس (حق و ہدایت) کو جس کو اللہ نے نازل فرمایا ہے کہ ہم تمہاری بات بخوشی مان لیں گے۔
اس (فرعون) نے کہا: اگر تم کوئی نشانی لائے ہو تو اسے (سامنے) لاؤ اگر تم سچے ہو 107۔
اس (کے پیچھے چلنے) میں کوئی کجی نہیں ہوگی، اور (خدائے) رحمان کے جلال سے سب آوازیں پست ہوجائیں گی۔
اس آخری جملے سے شہ پا کر بشیر بدرؔ نے اپنے تازہ مجموعۂ کلام کا نام ہی "آمد" رکھ دیا۔
اس آدمی نے عرض کیا کہ یا رسول اللہ (صلی اللہ علیہ و سلم)! یہ تو اللہ کے لیے ہے۔
اس آدمی نے کہا کہ پس میں نے خواب میں دیکھا کہ گویا کوئی شخص مجھ سے کہہ رہا ہے۔
اس آسمانی تیز و تند آواز سے سب کے سب محشر میں اللہ کے سامنے جمع کر دیئے جائیں گے۔
اس آواز پہ ہر چند سر اڑ جاۓ جلاّد کو لیکن وہ کہے جائیں کہ "ہاں اور" لوگوں کو ہے۔
اس آواز کو اس کی برائی و خرابی بیان کرنے کے لیے یہاں گوز مارنے سے تعبیر کیا گیا ہے۔
اس آگ، نفرت اور غصہ کو کم کرنے کے لیے جو بش کے خلاف میرے دل میں بھڑک رہی تھی۔
اس آہنگ کی تشکیل میں لفظیات کا شکوہ اور مخصوص اوزان و بحور کا تجمل اہم کردار ادا کرتے ہیں۔
اس آیت سے اس مسئلہ پر بھی استدلال ہو سکتا ہے کہ جانوروں کو دیکھے بغیر ادھار دینا جائز ہے۔
اس آیت سے بھی ایک مذہب کی نفی ہوتی ہے جس کے نزدیک رسالت محمدیہ پر ایمان لانا ضروری نہیں۔
اس آیت مبارکہ میں یہاں ایک عام اصول بیان کر دیا ہے کہ عورت پر ظلم اور زیادتی نہ کرو۔
اس آیت میں قریب رشتے داروں کو بھی حکم ہو رہا ہے کہ وہ اجازت حاصل کر کے آیا کریں۔
اس آیت میں مشرکین کا دنیوی اور اخروی حال بیان ہو رہا ہے، یہ اللہ کا شریک مقرر کرتے ہیں۔
اس آیت میں پہلی مرتبہ ان لوگوں سے لڑنے کی اجازت دی گئی جو مسلمانوں سے آمادہ قتل رکھتے تھے۔
اس آیت کا انکار کرتا ہے جس سے نمازوں کی توہین ہے اور اللہ کے گھروں کی بے حرمتی ہے۔
اس آیت کی تلاوت کے وقت آپ ایک عربی شعر پڑھتے تھے جس میں احوال کے تغیر کا بیان ہے۔
اس اثنا میں انور آ کر عارف کو پانچ روپیہ کے راز سے آگاہ کرتا اور لعنت ملامت کرتا ہے۔
اس اثنا میں انھوں نے اردو اور انگریزی میں جو علمی و تحقیقی مضامین لکھے وہ اہمیت کے حامل ہیں۔
اس اثنا میں عمر دراز علی ٹرانسفر ہو کر آگرہ سے جھانسی آئے اور کفایت علی فیروز پور (پنجاب) گئے۔
اس اجمال کی تفصیل سمجھنے کے لئے پہلے یہ جاننا چاہیے کہ فن تاریخ کی ماہیت اور حقیقت کیا ہے۔
اس ادارے نے "طلسمی دنیا"" بھی شائع کی جس میں طلسم ہوشربا کو سلیس اردو میں پیش کیا گیا تھا۔
اس ارشاد گرامی سے جہاں آنحضرت صلی اللہ علیہ وآلہ وسلم کی انتہائی سخاوت فیاضی کا وصف سامنے آتا ہے۔
اس ارشاد گرامی کا حاصل دولتمندوں اور مالداروں کو سخت خوف دلانا اور زہد دنیا کی طرف راغب کرنا ہے۔
اس استفہامی جملے کا مقابل یہاں پر محذوف ہے جو کہ بلاغت کلام کا ایک اہم اور معروف اسلوب ہے۔
اس اسلوب میں شخصیت کو اس لئے زیادہ محسوس کرتے ہیں کہ قرآن حکیم شخص کا تجزیہ بن گیا ہے۔
اس اسم سے بندہ کا نصیب وہی ہے جو اس سے پہلے نام کے سلسلہ میں ذکر کیا گیا ہے۔
اس اسم سے بندہ کا نصیب وہی ہے جو اسم مبارک العظیم کے بارہ میں ذکر کیا جا چکا ہے۔
اس اسم سے بندہ کا نصیب وہی ہے جو اسم مبارک العظیم کے بارے میں ذکر کیا جا چکا ہے۔
اس اسم سے بندہ کا نصیب یہ ہے کہ وہ اپنے بڑے دشمنوں سے کہ وہ نفس اور شیطان ہیں۔
اس اشک باری اور توبہ کے نتیجے میں شرکاء کو یقینی طور پر روحانی لطف اور پاکیزگی حاصل ہوتی ہے۔
اس اعتبار سے بازوؤں کے پست کرنے کے معنی، والدین کے سامنے تواضع اور عاجزی کا اظہار کرنے کے ہوں۔
اس اعتبار سے چونکہ ان دونوں کا حقیقت میں کوئی وجود نہیں ہوتا لہذا حکم میں بھی دونوں برابر ہوئے۔
اس اعتبار سے یہ بہت اہم محاورہ ہے اور سماج کی نفسیات اور عمل ورد عمل کی نشاندہی کرتا ہے۔
اس اعتبارسے کہہ سکتے ہیں کہ نبی کا وجود مسعود خود ہماری ہستی سے بھی زیادہ ہم سے نزدیک ہے۔
اس اعتراض کا جواب حضرت مولانا تقی عثمانی نے اپنی کتاب "تقلید کی شرعی حیثیت" میں مفصل تحریر فرمایا ہے۔
اس افسانے میں امرت کا المیہ تخیل اور تخیلی عمل کا سنجیدہ اظہار ہے جو اپنے طور پر مکمل ہے۔
اس افسانے میں بچے بوڑھی کاکی کو ایک تماشا تصور کرتے ہیں لیکن اس ماحول میں ایک ہمدرد بھی ہے۔
اس الم انگیزسانحہ پر اظہار ہمدردی کرنے کے لئے وہ آئی، اس کے ساتھ اس کی دونوں لڑکیاں بھی تھیں۔
اس امت کو تین چیزیں ایسی دی گئی ہیں کہ ان سے پہلے کی کسی امت کو نہیں دی گئیں۔
اس امر کی وضاحت اہل حدیث جید عالم دین امام الہند مولانا ابوالکلام آزاد رحمہ اللہ نے بھی فرمائی ہے۔
اس انجان پانی کو اس کی اجازت کے بغیر، اچانک اس کے گھر میں داخل ہونے کی جرات کیسے ہوئی؟
اس انجمن میں یحیی خان [23] چہک چہک کر پھدک پھدک کر کبھی ایک بیگم، کبھی دوسری بیگم سے ٹکراتا۔
اس انجینئر کی شکل ہوبہو شیشے میں بند آدمی کی، ہال میں دیوا رپر آویزاں قد آدم تصویر جیسی ہے۔
اس اژدہا کے نین کہ جبڑا سو چیوں غار محکم اھے دھواں نیں یو اس سانپ کا دم ا ہے۔
اس اکائیت کے مقام پر سائنس کے قوانین اور ہماری مستقبل کو جاننے کی صلاحیت دونوں جواب دے جائیں گی۔
اس ای میل میں انہوں نے مزید مکالمہ جاری رکھنے سے انکار کر دیا اور وجہ اپنی اہم مصروفیات بتائیں۔
اس ایک لمحے کی لرزش کا انجام، جو اس نے طاہر کی محبت کے سامنے سر جھکا کر کی تھی۔
اس باب میں ابو سعید رضی اللہ عنہ، جابر رضی اللہ عنہ اور انس رضی اللہ سے بھی روایت ہے۔
اس باب میں ثابت بن فحاک، ابن عباس، ابو ہریرہ، قتیلہ اور عبدالرحمن بن سمرہ سے بھی احادیث منقول ہیں۔
اس باب میں جابر ابن عباس اور ابو سعید عائشہ عرباض بن ساریہ اور انس سے بھی روایات مروی ہیں۔
اس باب میں حضرت ابن عباس، سہل بن سعد، ابن عمر اور عبداللہ بن بسر سے بھی احادیث منقول ہیں۔
اس باب میں حضرت ابن عمر رضی اللہ عنہما اور ابو ہریرہ رضی اللہ عنہ سے بھی احادیث منقول ہیں۔
اس باب میں حضرت ابن مسعود، ابن عباس اور عمران بن حصین رضی اللہ عنہم سے بھی احادیث منقول ہیں۔
اس باب میں حضرت ابو بکر صدیق، بریرہ، ابو سعید، عمرو بن تغلب اور معاویہ سے بھی احادیث منقول ہیں۔
اس باب میں حضرت ابو لبابہ سلیمان ابو ذر سعید بن عبادہ اور اوس بن اوس سے بھی روایت ہے۔
اس باب میں حضرت ابو ہریرہ رضی اللہ تعالی عنہ اور عائشہ رضی اللہ تعالی عنہ سے بھی روایت ہے۔
اس باب میں حضرت ابو ہریرہ رضی اللہ عنہ اور عائشہ صدیقہ رضی اللہ عنہا سے بھی احادیث منقول ہیں۔
اس باب میں حضرت ابو ہریرہ، ابن عباس اور ابن عمر سے بھی روایت ہے، یہ حدیث حسن صحیح ہے۔
اس باب میں حضرت ابو ہریرہ، ابو ایوب، براء اور ابو مسعود رضی اللہ عنہم سے بھی احادیث منقول ہیں۔
اس باب میں حضرت اسماء بن ابو بکر اور عائشہ رضی اللہ عنہم و عنہن سے بھی احادیث منقول ہیں۔
اس باب میں حضرت ام سلمہ، معقل بن یسار، ابو حمراء اور انس رضی اللہ عنہ سے بھی روایت ہے۔
اس باب میں حضرت انس، ابو ریحانہ، ابن عمر، جابر، معاویہ، ابو ہریرہ، وائل بن حجر سے بھی روایت ہے۔
اس باب میں حضرت بریدہ رضی اللہ عنہ، ابن عمر اور عائشہ رضی اللہ عنہم سے بھی احادیث منقول ہیں۔
اس باب میں حضرت جابر ابو طفیل اور ام سلمہ سے بھی روایت ہے، امام بو عیسی ترمذی فرماتے ہیں۔
اس باب میں حضرت زید بن ثابت، جابر، ابو ہریرہ، عائشہ، ابن زبیر اور معاویہ سے بھی روایات منقول ہیں۔
اس باب میں حضرت سعد، ابن عمر، جابر، انس اور عبداللہ بن عمرو رضی اللہ عنہم سے بھی روایت ہے۔
اس باب میں حضرت سعد، عائشہ، عبداللہ بن عمرو، ابن عمر اور خوات بن جبیر سے بھی احادیث منقول ہیں۔
اس باب میں حضرت عائشہ، ابو ہریرہ، انس اور اسامہ بن شریک رضی اللہ عنہم سے بھی احادیث منقول ہیں۔
اس باب میں حضرت عباس، قرظہ بن کعب، ابو ہریرہ، ابن مسعود اور اسامہ بن زید سے بھی روایت ہے۔
اس باب میں حضرت عبداللہ بن مسعود، ابو ہریرہ، ابو جحیفہ، عائشہ اور ابن عمر سے بھی احادیث منقول ہیں۔
اس باب میں حضرت عدی بن عمیرہ، بریرہ، مستور بن شداد، ابو حمید، اور ابن عمر سے بھی روایات ہے۔
اس باب میں حضرت علمقمہ بن فغواء، جابر، براء اور مہاجر بن قنفذ رضی اللہ عنہم سے بھی روایت ہے۔
اس باب میں حضرت عمر رضی اللہ تعالی عنہ اور عائشہ رضی اللہ تعالی عنہ سے بھی احادیث منقول ہیں۔
اس باب میں سیدنا عبد اللہ بن ابی اوفی کی حدیث ہے جو اوپر والے باب میں گزر چکی ہے۔
اس باب میں عبدالرحمن بن عوف عامر بن ربیعہ عمار ابو طلحہ انس ابی بن کعب سے بھی روایت ہے۔
اس باب میں نواس بن سمعان ام سلمہ، عائشہ اور ابو ذر رضی اللہ عنہم سے بھی احادیث منقول ہیں۔
اس باب میں کیا شاہ کیا امیر، کیا سپاہی کیا عمال، کیا ادارہ کیا ادارت کسی کو معاف نہیں رکھا۔
اس بات سے ابو بکر کو بچانا چاہتی ہو) عائشہ فرماتی ہیں کہ ہم نے ابو بکر کو کہلا بھیجا۔
اس بات سے کون انکار کر سکتا ہے کہ یہ پیش گوئی آج کے زمانہ پر پوری طرح منطبق ہے۔
اس بات سے کچھ سروکار نہیں رکھتا کہ پیٹھ پر لعل و جواہر لدھے ہوئے ہیں یا خزف و سنگریزے۔
اس بات میں جس میں وہ اختلاف کر رہے ہیں اور اگر ظالموں کے پاس جو کچھ زمین میں ہے۔
اس بات میں کہ آسمان پر اللہ ہے جو آسمان و زمین کا خالق اور ان کا مدبر ہے۔
اس بات پر ان کے درمیان کئی لڑائیاں بھی ہوئیں جن میں بعض افراد زخمی ہوئے اور بعض مارے گئے۔
اس بات پر بھی غور کرنا چاہیے کہ ابتدا سے کلائمکس تک کشمکش اور تصادم کی فضا قائم رہتی ہے۔
اس بات پر کہ ہم ان سے بہتر لوگ بدل کر لا سکتے ہیں اور ہم عاجز بھی نہیں ہیں۔
اس بات کا انکشاف اسلحے کے بین الاقوامی یہودی تاجر بن متانت نے اپنی کتاب میں کیا۔
اس بات کا بیان کہ اس آیت کریمہ کا کیا مفہوم ہے اور اس کے فرمانے سے کیا مقصد تھا؟
اس بات کا ثبوت پسماندہ ذاتوں کے کمیشن، اقلیتی کمیشن وغیرہ کے ذریعے کرائے گئے سروے سے بھی ملتا ہے۔
اس بات کا خیال رکھنا ضروری ہے کہ مغربی تانیثیت، مغرب کے مخصوص سیاسی اور سماجی حالات کی پیداوار ہے۔
اس بات کو دوسرے لفظوں میں یوں بھی سمجھا جا سکتا ہے کہ سائنس فطرت سے بحث کرتی ہے۔
اس بات کی کہ اللہ تعالی کے سوا کوئی سچا معبود نہیں اور میں اللہ کا بھیجا ہوا رسول ہوں۔
اس بات کی کہ عذاب اس پر ہے جس نے جھٹلایا (حق کو) اور (اس سے ) منہ موڑا، ۔
اس بادشاہ کو "ذوالقرنین" اس لیے کہتے ہیں کہ دنیا کے دونوں کناروں (مشرق و مغرب) پر پھر گیا تھا۔
اس بار بھی نیا سال ہم کو یہی کہنے پر مجبور کر گیا: زمیں لوگوں سے خالی ہو رہی ہے۔
اس بار مریٹھا سر سے نکال کر اس نے کندھے پر رکھ لیا تھا-------- اس کی آنکھوں میں سوال تھے۔
اس بارہ میں یہ اصول سمجھ لیجئے کہ جو صدقہ لفظ اطعام یا طعام (کھلانے ) کے ساتھ مشروع ہے۔
اس بارے میں کوئی ایک روایت بھی نہیں کہ بغیر بیعت کے صرف وراثت سے کبھی کوئی خلیفہ بنا ہو۔
اس بارے میں کوئی ایک روایت بھی نہیں کہ کسی ایک مسئلہ کا بھی شریعت کے خلاف فیصلہ ہوا ہو۔
اس بارے میں کہ رسول اللہ صلی اللہ علیہ و آلہ و سلم پر جھوٹ باندھنا بہت بڑا گناہ ہے۔
اس بارے میں کہ کسی کا اپنے پیٹ کو پیپ سے بھر لینا، شعروں سے بھر لینے سے بہتر ہے۔
اس بارے میں ہمارا ادب سجاد حیدر، ظفر علی خاں، ڈاکٹر اقبال اور ابوالکلام آزاد جیسی شخصیتوں کا ممنون ہے۔
اس بحث کی روشنی میں یہ واضح ہوگیا کہ اس حدیث اور فقہی روایتوں کے درمیان کوئی تضاد نہیں ہے۔
اس بحر میں کم از کم 5 غزلیں لکھ لے اس کے بعد پھر دوسری بحر کی طرف جاتے ہیں۔
اس بدبخت قوم کا جو اپنے آخری اور ہولناک انجام کے قریب آ لگی ہوتی ہے، والعیاذ باللہ العظیم ۔
اس بدبخت نے نبی اکرم کے (نعوذ باللہ) بارہ خاکے بنائے اور یہ خاکے ایڈیٹر کے حوالے کر دیئے گئی۔
اس براعظم پر اماں نے گھنی چھاؤں کر رکھی تھی اور اسی چھاؤں میں پل کر ہم سب جوان ہوئے۔
اس بستی میں آبادی تو خاصی ہو گئی تھی مگر ابھی تک بجلی کی روشنی کا انتظام نہیں ہوا تھا۔
اس بشارت کی برائی کے سبب، کیا اسے ذلت کے ساتھ رکھے گا یا اسے مٹی میں دبا دے گا۔
اس بنا پر اہل سلوک کہ جو ریاضت و مجاہدہ اور نفس کشی کا زیادہ شوق اور ذوق رکھتے ہیں۔
اس بناء پر ان مشرکین کا اسلامی معاشرے کے تابع رہنا، گو کہ وہ مسلم نہیں ہوئے تھے، قطعی ناگزیرتھا۔
اس بناء پرانکی ماں حضرت امّ رومانؓ سے تاکید فرما دی تھی کہ ذرا میری خاطر ان کو ستانا نہیں۔
اس بندہ خدا نے کہا کہ میں نے نہ کہا تھا کہ آپ میرے ساتھ صبر نہ کر سکیں گے۔
اس بنیادی قرآنی تعلیم کے ساتھ ساتھ انہیں عربی زبان سکھانے کے لئے بھی قرآن کا استعمال کیا جانا چاہیے۔
اس بولی میں اپنے ودیشی شبد سموہ کو سوتنتر تا پوروک ملا لینا ان کے لیے سو بھا وک تھا۔
اس بولی کی ابتدا، پے شاچی یا کیکئی اپ بھرنش سے ہوئی ا سے مشرقی پنجابی بھی کہا جاتا ہے۔
اس بڈھے نے پھر مجھے ایک نظر دیکھا، لیکن میرے جسم میں سنسناہٹ نہ دوڑی، کیوں کہ وہ بڈھا تھا۔
اس بھاپ کی موجودگی سے زندگی باقی رہتی ہے اور اس کے تحلیل ہو جانے سے موت ہو جاتی ہے۔
اس بیان سے محسوس ہوتا ہے کہ ڈاکٹر لطیف اور پروفیسر کلیم الدین احمد ایک ہی قبیل کے نقاد ہیں۔
اس بیان میں کہ کون سے اشعار، رجز یہ کلام اور حدی بڑھنا جائز ہے اور کون سا مکروہ ہے۔
اس بیان کو دیکھیں تو " میں چھپنے والے بیشتر مضامین کا دورانیہ 1935ء کے آس پاس کا بننا چاہیے۔
اس بیت میں اور بھی لطایف ہیں جو تشبیہ کے علاوہ ہیں اور جسے میرصاحبؔ کی معجز بیانی کہنا چاہیے۔
اس بیع میں تو بیچنے والے کا ارادہ ہی یہ ہوتا ہے کہ جو سب سے زیادہ دام لگائے گا۔
اس بیچ نواسی اور اس نوجوان میں دوستی ہو جاتی ہے لیکن لڑکی ہمیشہ اپنی نانی کی نگرانی میں ہے۔
اس بے چارے نے خبر پہنچانے سے پہلے اس قیمے کو سمیٹ کو اپنی دکان کے پچھواڑے دفن کر دیا۔
اس تبدیلی کا منفی پہلو یہ ہے کہ اکثر معاشروں میں بے حیائی اور فحاشی کو فروغ مل رہا ہے۔
اس تبدیلی کے بعض مثبت پہلوؤں میں بہت سی بیماریوں جیسے شوگر، ایڈز وغیرہ کے علاج کی دریافت شامل ہے۔
اس تجزیے سے معلوم ہوتا ہے کہ دور جدید میں پیدا ہونے والی اس تبدیلی کا غالب پہلو منفی ہے۔
اس تحریر سے میرا مطلب ان بہنوں کا مذاق اڑانا ہرگز نہیں جو فی الواقع غمگین یا مصیبت زدہ ہیں۔
اس تحریک کا فکری و عملی ماخذ عالم آب و گل سے ماوراء اور بشری دائرہ سے خارج ہوتا ہے۔
اس تحریک کے علاوہ دوسری تحریک جو انگریز کے مفاد میں تھی، وہ مرزا غلام احمد قادیانی کی تحریک تھی۔
اس ترازو کی راہ میں اور بھی بہت کچھ پڑتا تھا، گہری دھند، سرمئی بادل، کڑکتی بجلیاں اور کالی بارشیں۔
اس تصنیف میں بیزاری کے کلمات، گالیاں، کوسنے، ہمدردی اور دعائیں جو خالصتا خواتین کی وضع کردہ ہیں، شامل ہیں۔
اس تصویر کا خیال آتے ہی اسے اردگرد کا سارا منظر حسین دکھنے لگا، مہکتا ہوا اور رنگ برساتا ہوا۔
اس تعلق سے بے شمار واقعات تاریخ کے صفحات پر شاہد ہیں، ایک مشہور و معروف واقعہ درج کرتا ہوں۔
اس تغیر و تبدل کومستحکم کرنے کے لیے انہوں نے یہاں کے لاء کالجوں میں اپنی قانونی تعلیم رائج کی۔
اس تفصیل سے معلوم ہوتا ہے کہ اسلام میں غلاموں کی بڑی تعداد کو کس قدر کشش محسوس ہوئی تھی۔
اس تقریر سے معلوم ہو گیا کہ آپ صلی اللہ علیہ و سلم دل میں جو چیز چھپائے ہوئے تھے۔
اس تقریر کو پڑھ کر بالکل ذہن نشین ہو جاتا ہے کہ اس وقت جو کچھ ہوا وہی ہونا چاہیے۔
اس تناظر میں دیکھیں تو"ادبی الاٹمنٹ "کے طعنے کی معنویت اور اس کی سفاکی کو سمجھنا کچھ مشکل نہیں رہتا۔
اس تنظیم کے تحت  اور & کے پروگرام شروع کئے گئے ہیں۔
اس توانائی کی مدد سے نظر آنے والی چیزوں کے الیکٹرونز کو بغیر گرم کئے نرم بنایا جا سکتا ہے۔
اس تہذیب کا آخری آدمی-------- جو اس وقت ایک آزاد بازار میں بہت سے لوگوں کے ساتھ ننگا کھڑا ہے۔
اس تیسرے آدمی پر ونود کو شبہ ہے کہ پدما اس کے ساتھ ہنسی خوشی زندہ نہیں رہ سکتی.لکھتا ہے۔
اس تیسرے آدمی کو پا کر خود کو پدما اور بھون کے راستے کی رکاوٹ تصور کرتا ہے، لکھتا ہے۔
اس جلسے میں یہ تجویز بھی منظور کی گئی کہ ایک عرضداشت تیار کر کے حکومت کو پیش کی جائے۔
اس جملہ سے میں یہ سمجھا کہ آپ صلی اللہ علیہ و آلہ و سلم مجھ کو کہہ رہے ہیں۔
اس جملے کے اور بھی بہت سے معنی کئے گئے ہیں جو سورۃ رعد میں ہم بیان کر آئے ہیں۔
اس جنگ میں مسلمانوں کا بڑا نقصان ہوا اور سوائے امیر لشکر کے سب کے سب شہید کر دیے گئے۔
اس جنگ میں مسلمانوں کی تعداد بہت کثیر بارہ ہزار یا اس سے زائد تھی اور مشرکین چار ہزار تھے۔
اس جنگ کی نوبت اس لئے نہ آئی کہ مسلمانوں نے اپنے درمیان سود کا مکمل خاتمہ کر دیا تھا۔
اس جوڑے سے پیدائش کے عمل کا آغاز ہوا اور اس طریقے سے نوع انسانی کا قیام عمل میں آیا۔
اس جگہ رحمت اللہ کو رہنے کے لئے ایک مکان جس میں دو کوٹھڑیاں اور ایک چھوٹا سا صحن تھا۔
اس جگہ کو تباہ و برباد دیکھے ابھی 48 گھنٹے بھی نہیں ہوئے تھے اور سارے خیمے لگے ہوئے تھے۔
اس جھٹکے سے کہ جس میں ہمارے ہاتھ سے سب کچھ نکل جائے گا اور ہم محتاج ہو جائیں گے۔
اس حالت میں اگر میں یہ دعوی کروں کہ میں تمہاری محبت کے لائق ہوں تو یہ میرا جھوٹ ہے۔
اس حالت میں بھی بدحواس اور پریشان ہو کر دعا کے ہاتھ بے اختیار خدا کی طرف اٹھ جاتے ہیں۔
اس حالت میں سفر میں نماز قصر کرنے (دوگانہ ادا کرنے ) کی اجازت دی جا رہی ہے، ان خفتم۔
اس حالت میں مرا کہ شراب نوشی کا عادی تھا تو آخرت میں (جنت کی شراب) نہ پی سکے گا۔
اس حالت کو لہوخشک ہوناکہتے ہیں اور اسی کے لئے کہا جاتا ہے کہ کاٹو تو بدن میں لہو نہیں۔
اس حد تک ٹوٹ پھوٹ جاتے ہیں کہ ہم انہیں بڑی آسانی کے ساتھ کارٹون کا نام دے سکتے ہیں۔
اس حدیث سے بین طریقہ پر یہ معلوم ہوتا ہے کہ نماز میں سورہ فاتحہ کا پڑھنا فرض نہیں ہے۔
اس حدیث سے معلوم ہوا کہ تہبند و پاجامہ کو ٹخنوں سے نیچے لٹکانے کی حرمت کی اصل تکبر ہے۔
اس حدیث سے معلوم ہوا کہ عرفہ کے دن روزہ رکھنا حج کرنے والے کے لیے تو مسنون نہیں ہے۔
اس حدیث سے معلوم ہوا کہ مسجد میں کھانا پینا جائز ہے اور یہ بات اکثر احادیث میں منقول ہے۔
اس حدیث سے معلوم ہوا کہ کسی چیز کے دینے میں اپنی داہنی طرف کی رعایت ملحوظ رکھنا مستحب ہے۔
اس حدیث سے معلوم ہوتا ہے کہ اگر قوت ہو اپنے اوپر پورا اعتماد ہو تو روزہ رکھنا افضل ہے۔
اس حدیث سے یہ ثابت ہوتا ہے کہ بدنی عبادت جیسے نماز روزہ کا ثواب کسی کو بخشنا جائز ہے۔
