,      . بہت وسیع موضوع ہے اور میں محنت سے بھاگنے والا۔
یعنی الفاظ کے باہمی رشتے اور معنیاتی سلسلے محاورات کو اور عام زبان کے ساتھ ان کے رشتوں کو سمجھنے میں یہ صورت حال بہت مدد دیتی ہے۔
’’میں تحریر و تصنیف کے جملہ آداب سے واقف ہوں، میرے قلم سے بے ادبی شاذ و نادر ہی ہو سکتی ہے، میں فحش نگار نہیں افسانہ نگار ہوں۔
17 کیا وہ خالق جو (اتنا کچھ) پیدا فرمائے اس کے مثل ہو سکتا ہے جو (کچھ بھی) پیدا نہ کر سکے، کیا تم لوگ نصیحت قبول نہیں کرتے 18۔
اور اس کے دونوں گالوں پر وہ گرم اور نم آلود بوسے اور دن میں کتنی کتنی مرتبہ اس کے منہ سے شراب کی تیز بدبو تو ضرور آتی تھی۔
اوروہی (اللہ) ہے جس نے رات اور دن کو پیدا کیا اور سورج اور چاند کو (بھی)، تمام (آسمانی کرّے) اپنے اپنے مدار کے اندر تیزی سے تیرتے چلے جاتے ہیں۔
جذبوں سے بھری ہوئی رنگ پچکاری جیسی، دہشت سے نکلی ہوئی چیخ جیسی اور حیرت کے اس لمحے کی طرح جو عین صلیب پر اترے اور زندگی کا جوہر کشید کرے۔
سورۃ الْإسْراء / بنی إسْرآئیل سورت : مکی ترتیب تلاوت : 17 ترتیب نزولی : 50 رکوع : 12 آیات : 111 پارہ نمبر : 15 بسم اللہ الرحمن الرّحیم 1۔
شکیل الرحمن نے پریم چند کی کہانیوں کی روشنی میں بچوں کی نفسیات، حالات کا نفسیاتی رد عمل، اس کے اثرات اور حسی تصورات کے حوالے سے اچھی بحث کی ہے۔
قرآنی اصطلاح "رتق" کی سائنسی تفسیر ہمیں اس بات سے آگاہ کرتی ہے کہ بے پناہ توانائی نے کائنات کو اس وقت ’ابتدائی کمیتی اکائی‘ کی صورت میں باندھ رکھا تھا۔
قیلولہ دوپہر کے سونے کو کہتے ہیں، حاصل یہ ہے کہ وہ آگ شب و روز ان کے ساتھ رہے گی اور کسی بھی وقت ان سے جدا نہیں ہو گی۔
مصوّر : یہ نظم پانچ بندوں پر مشتمل ہے اور ہر بند آٹھ مصرعوں سے تشکیل دیا گیا ہے، مگر ان مصرعوں کی ترتیب سے بند کی ہیئت بدل گئی ہے۔
پر فتاوی اور شرعی فیصلہ جات کے ’فتاوی قاضی خان‘، ’فتاوی بزازیہ‘، ’فتاوی ابن تیمیہ‘، ’فتاوی امام نووی‘، ’فتاوی امام سبکی‘ اور ’فتاوی الہندیہ‘ جیسے مجموعات مرتب ہوئے۔
یوں نہ دیکھیں مجھے ترحّم سے اور کوئی عذاب دے دیجئے . طارقؔ تو یہی کہہ کے مشیت کا بھرم رکھ اچھا چلو قسمت میں مری غم ہیں تو ہوں گے۔
یہ واعظ خوش کلام، اللہ اللہ شرمندۂ ذوق عام، اللہ اللہ افسانہ تراش اور حق گو، توبہ! دیں اس کو بھی جام، اللہ اللہ لاریب کہ رہنمائے دوراں تو ہے۔
! (بخاری ) تشریح میرک رضی اللہ عنہ کہتے ہیں کہ ابن ماجہ اور احمد نے اپنی روایت میں "" رنگین"" کے ساتھ مہندی اور وسمہ کے الفاظ بھی نقل کئے ہیں۔
! آمد و خرچ کا حساب ان کا محبوب مشغلہ بھی ہے اور ہائی اسکول میں ریاضی میں امتیاز کے ساتھ کامیابی یعنی کا وہ پورا فائدہ ابھی تک اٹھاتے ہیں۔
! اب رہا کائنات کی جانب سے انسان کے مامون و مصؤن رہنے کی صورت تو وہ صرف انسان اور کائنات کی حرکت میں باہمی مطابقت اور یک جہتی پر موقوف ہے۔
! اور اگر کسی نے اپنے باپ یا اپنے دادا کو اور یا اپنی ماں کو ذبح کرنے کی نذر مانی تو تمام علماء کے نزدیک اس کی نذر لغو ہو گی۔
! اگر اللہ تعالی کی راہ میں جہاد، حج اور اپنی والدہ کے ساتھ نیکی کرنے کا مسئلہ نہ ہوتا تو میں غلام ہونے کی حالت میں فوت ہونے کو پسند کرتا۔
! تو جا اور جنت میں داخل ہو، وہاں تیرے لئے دنیا ( کی مسافت ) کے بقدر اور اس سے دس گنی مزید جگہ تیرے لئے ( مخصوص کر دی گی۔
! رشتۂ در گردنم افگندہ دوست مہ برد ہر جا کہ خاطرخواہ اوست چلو! اتنی دیر میں‌اورسب حوریں بھی آ گئیں اور زمرد حسین کو ساتھ لیے قصر دری کے باہر نکلی۔
! ساتوں سمندر اسی وجود میں ہیں، اور تمام ستارے اسی جگہ چمک دمک رہے ہیں، ان ستاروں کی کوئی تعداد بتا نہیں سکتا، لاتعداد انگنت ستاروں کی روشنی پھیلی ہوئی ہے۔
! شبانہ کو لگتا ہے کہ اس سے گلے ملنے والا یہ بوڑھا شاید سٹیا گیا ہے، وہ حیرت سے لوگوں کو دیکھتے ہوئے مسکرا کر کہتی ہے: شکریہ دادا جی شکریہ۔
! نہ جانے کیوں جولیا سچ مچ اس کے لئے مغموم ہو گئی تھی! ﴿﴾ ﴿﴾ ﴿﴾ جوزف بس چلتا ہی رہا! اسے احساس نہیں تھا کہ وہ کتنا چل چکا ہے۔
! وہ شخص ( انتہائی تحیر واستعجاب کے عالم میں ) کہے گا کہ ( پروردگار !) کیا آپ مجھ سے مذاق کررہے ہیں یا یہ کہے گا کہ آپ مجھ سے۔
! ٭٭٭ زندگی کا تسلسل (پانچوں بچے) میں نے اپنی دیانت کی سب دولتیں اپنی اولاد کو دیں فقط اور باقی عزیزوں کو صرف اور صرف اپنے حصے کا گھر لکھ دیا۔
! پھر جولیا نے دیکھا کہ وہ کار میں بیٹھ کر اسے اسٹارٹ کرنے کی کوشش کر رہا ہے! تھوڑی ہی دیر بعد وہ انجن کھولے اس پر جھکا ہوا نظر آیا۔
!! اعتبار کیا ! میں بچے کے آنسوؤں کی طرح ہو گئی اور ابھی تک آنکھوں کی طرح ہوں اور ابھی تک مسلمان ہوں! زندگی کی چھاؤں میں کوئی سورج نہیں ہے۔
!! پروفیسر بشیر احمد سوز قلم قبیلے کے سارے لوگو قلم اٹھؤ کہ ایک لمحہ زمیں کے سینے کو چاک کرنے وجود ہستی کو خاک کرنے فلک سے نیچے اتر گیا ہے۔
!مقصد یہ تھا کہ ان باتوں کی بشارت تمام صحابہ سن لیں اور اس ضمن میں ان دونوں شکایت کنندہ کو جواب بھی حاصل ہو جائے جس سے ان کو تسلی ہو۔
"        ." پھر رافی اسٹیئرنگ پر ایک بازو رکھ کر رابرٹ ٹائیلر کے انداز سے کہتا تھا۔
اس سلسلہ میں سب سے پہلے یہ بات جاننی چاہیے کہ اس مسئلے میں تو سب ائمہ متفق ہیں کہ سورۃ فاتحہ کے بعد آمین کہنا ہر نمازی کے لیے سنت ہے۔
اس سلسلہ میں یہ آیتیں نازل ہوئیں جن کا حاصل یہ ہے کہ آپ ان لوگوں کی بیہودہ خرافات اور فرمائشوں کی وجہ سے اس قدر فکر مند اور غمگین نہ ہوں۔
اس سلسلے میں پہلے بھی بتایا جا چکا ہے کہ موجودہ دور کے تمام علماء کا متفقہ فیصلہ ہے کہ اب اس زمانہ میں جب کہ فتنہ و شر کا دور ہے۔
اس سلسلے میں ڈاکٹر محمد چراغ علی کی کتاب ’’ دکن میں اردو مرثیہ کا ارتقاء ‘‘ کا مندرجہ ذیل اقتباس میں بطور تمہید اور بلا تبصرہ پیش کیا جا رہا ہے۔
اس سوال کا جواب ڈھونڈنا بہت ضروری ہے کہ آخر ارتقاء پرست اتنا بڑا ارتقائی ڈھونگ رچاکر قوموں کو گمراہ کر کے علمی بحران پیدا کرنے کی کوشش کیوں کرتے رہے ہیں؟
اس سوال کا جواب ڈھونڈنا بہت ضروری ہے کہ آخر ارتقاء پرست اتنا بڑا ارتقائی ڈھونگ رچاکر قوموں کو گمراہ کر کے علمی بحران پیدا کرنے کی کوشش کیوں کرتے رہے ہیں۔
اس سوال کا جواب یقینی طور پر ایک ہی ہو سکتا ہے اور وہ یہ کہ یہ سب صرف عشق الہی پر مبنی تصور دین کے قبول کر لینے کا نتیجہ ہے۔
اس سے آگے آپس میں فضل اور احسان کو نہ بھلا نے کی تاکید کر کے حق مہر میں بھی اسی فضل اور احسان کو اختیار کرنے کی ترغیب دی گئی ہے۔
اس سے آگے نہیں --------‘ صوفے پر دھنسا ہوا وہ اب بھی روئے جا رہا تھا-------- لیکن اس کی آواز اندر ہونے والے دھماکوں کی آوازکے درمیان دب کر رہ گئی تھی۔
اس سے استفادہ کرنا چاہئے : اور پھر آخری درویش کی باری آئی باغ افسانہ میں ندرت کی سواری آئی باب طلسم ہوش وبا مل گیا مجھے میں خود کو ڈھونڈتا تھا۔
اس سے ان مسلم ممالک کے عوام کو یہ تاثر جائے گا کہ یہ حقیقتا ایک اسلامی ریاست ہے اور وہ اس ریاست میں اسلام کی تطبیق اور نفاذ کے شاہد ہوں۔
اس سے ان کی شاعری میں بہت دلکش ’میلوڈی‘ پیدا ہوئی ہے، اردو شاعری میں ہجر اور وصل دونوں کے عمدہ جمالیاتی تصوّرات و تجربات شب اور آہنگ شب کی دین ہیں۔
اس سے اپنے آپ کو معاف کراؤں گا، چنانچہ اس کے بعد جب بھی وہ اپنے آپ کو معاف کروا لے اس سے تو اس ذمہ داری سے بری ہو جائے گا۔
اس سے بظاہر تو یہ مفہوم ہوتا ہے کہ سر کا مسح بھی تین مرتبہ کیا ہوگا لیکن جن روایتوں میں اعضاء وضو کے دھونے کی تفصیل اور وضاحت کی گئی ہے۔
اس سے بھی اس کے حصے کے موافق قسمیں لی جائیں گی اور جب وہ نابالغ بالغ ہو جائے وہ بھی اپنے حصے کے موافق قسم کھائے یہ میں نے اچھا سنا۔
اس سے بھی بڑھ کر حکومت کے متعلقہ اداروں کو بھی یہ اجازت نہیں ہے کہ وہ اس ‘ڈش ’ کی جانچ پڑتال کرسکیں کہ یہ آخر کن مرکبات پر مشتمل ہے۔
اس سے تمہیں تنگ دل نہیں ہونا چاہیئے، (یہ نازل) اس لیے (ہوئی ہے) کہ تم اس کے ذریعے سے (لوگوں) کو ڈر سناؤ اور (یہ) ایمان والوں کے لیے نصیحت ہے۔
اس سے تو آپ کے امیر کو کب کا تخت سے اتار دیا گیا ہوتا اور آپ، حضور، اپنے حرص کی وجہ سے بہت دن پہلے ہی چوبی ستون پر نظر آتے۔
اس سے تو معلوم ہوتا تھا کہ جمعہ کے روز غسل کرنا واجب ہے مگر یہ حدیث بصراحت اس پر دلالت کرتی ہے کہ جمعہ کے روز غسل کرنا واجب نہیں ہے۔
اس سے ثابت ہوتا ہے کہ حضرت علی رضی اللہ عنہ کی اس روایت کی اصل مرفوع ہے، یعنی یہ حضور صلی اللہ علیہ و آلہ و سلم ہی کا ارشاد ہے۔
اس سے جھوٹی قسموں کا بھی صدور ہونے لگے گا جس کا نتیجہ یہ ہو گا کہ ایک تو باطنی طور پر اس کی تجارت سے خیروبرکت کی روح نکل جائے گی۔
اس سے روزے دار پر کوئی چیز حرام نہیں ہوتی ہاں وہ فجر جو کناروں میں ظاہر ہو وہ صبح کی نماز اور روزے دار کا کھانا موقوف کرنے کا وقت ہے۔
اس سے زیادہ اچھا قول اس کی تفسیر میں حضرت ابن عباس کا ہے کہ میں مال جمع کر لیتا مجھے معلوم ہو جاتا کہ اس چیز کے خریدنے میں نفع ہے۔
اس سے زیادہ عجیب یہ بات معلوم ہوتی ہے کہ حاشیے کے ان اندراجات کے عین بالمقابل وہ صفحہ ہے جس کے متن میں اگلی سے اگلی غزل (اثر سوز محبت کا۔
اس سے زیادہ کا تصور ہمارے لیے ممکن ہی نہ تھا مگر کاکڑ کا کہنا تھا: ’’برشور کی بلندیوں سے دکھ شور مچاتا اترتا ہے اور سیدھا دلوں میں گھس جاتا ہے۔
اس سے صاف کہہ دیا جائے گا یا تو شفعہ کل لے لے یا چھوڑ دے اگر وہ لے لے گا تو بہتر نہیں تو اس کا شفعہ ساقط ہو جائے گا۔
اس سے طبقاتی امتیاز جنم لیتا ہے اور پھر اقتصادی عدم تحفظ کے باعث سود خود بخود ایک ضرورت بن جاتا ہے جس سے قارون کے خزانوں میں اضافہ ہوتا رہتا ہے۔
اس سے مال میں کوئی ترقی نہیں ہوتی البتہ پاکیزہ ذہن کے ساتھ اللہ کی رضا کے حصول کے لئے جو زکوۃ دیتے ہو اس میں اضافہ اور ترقی ضرور ہوتی ہے۔
اس سے مراد حضرت صالح، حضرت لوط اور حضرت شعیب علیہم السلام کی قومیں ہیں، کیونکہ سورہ اعراف اور سورہ ہود میں اسی ترتیب سے ان کے واقعات بیان کئے گئے ہیں۔
اس سے مراد خاص ایک ہی درخت ہو اور وہ تمام جہنم میں پھیلا ہوا ہو، جیسے طوبی کا ایک درخت ہے جو جنت کے ایک ایک محل میں پہنچا ہوا ہے۔
اس سے مراد یہ ہے کہ وہ کلام اللہ کے مطلب کو بدل دیتے ہیں اور خلاف منشائے الہی تفسیر کرتے ہیں اور ان کا یہ فعل جان بوجھ کر ہوتا ہے۔
اس سے مرد کی نفسیات پر بھی روشنی پڑتی ہے، محبوب کے اظہار محبت کو محسوس کرتے ہی یہ تمنّا جاگ پڑتی ہے کہ کسی طرح بس اسے حاصل کر لیا جائے۔
اس سے مضحکہ خیز بات اور کیا ہو سکتی ہے کہ کوئی شخص زید یہ کہے کہ اس نے سرقہ اس لیے کیا تھا کہ دوسرے شخص بکر کو لکھنا نہیں آتا۔
اس سے معلوم ہوا کہ بعض حضرات خصوصا مورخین نے جو یہ نتیجہ اخذ کیا ہے کہ امیر معاویہ، حضرت امام حسن سے صلح وصفائی کر لینے کے بعد خلیفہ ہوئے تھے۔
اس سے معلوم ہوا کہ شیطان کے جال بڑے حسین اور دلفریب ہوتے ہیں اور جن سے بچنے کے لئے بڑی کاوش و محنت اور ہر وقت چوکنا رہنے کی ضرورت ہے۔
اس سے معلوم ہوا کہ مسلمان کی عمر کا دراز ہونا اس کے حق میں بہت مبارک ہے اور حقیقت میں دراز عمر شخص وہی ہے جو نیک کاموں میں مشغول رہے۔
اس سے معلوم ہوا کہ پیغمبر عالم الغیب نہیں ہوتے، ورنہ موسی علیہ السلام اپنے ہاتھ کی لاٹھی سے نہ ڈرتے دوسرا، طبعی خوف پیغمبر کو بھی لا حق ہو سکتا ہے۔
اس سے پہلے واقعہ (حضرت ابراہیم علیہ السلام و نمرود) میں صانع یعنی باری تعالی کا اثبات تھا اور اس دوسرے واقعہ میں اللہ تعالی کی قدرت احیائے موتی کا اثبات ہے۔
اس سے پہلے کے واقعہ میں ہبوط آدم کا تذکرہ تھا اور کہا گیا تھا کہ آدم کے ستر کھل گئے اور وہ اپنے جسم کو جنت کے پتوں سے ڈھانکنے لگے۔
اس سے پہلے ہر چیز کی فراہمی کے لئے ان کے لئے جو خدائی انتظام موجود تھا، اس نافرمانی کے بعد وہ ختم ہو گیا، سو معاصی و ذنوب باعث محرومی ہیں۔
اس سے پیٹ میں بھی درد ہوتا ہے، سر میں بھی، پیشاب میں بھی تکلیف ہو جاتی ہے، طبیعت مالش کرتی ہے، قے آتی ہے، سر چکراتا ہے، عقل ٹھکانے نہیں رہتی۔
اس سے چھوٹی وحیدہ کے شوہر بشیر احمد شاہد عمر میں مجھ سے چھ ماہ بڑے ہیں اور سب سے چھوٹی غزالہ کے شوہر محمود عمر میں مجھ سے دوسال بڑے ہیں۔
اس سے ڈرنا اور نہ مریو مگر مسلمان اور مضبوط پکڑو رسی اللہ کی سب مل کر اور پھوٹ نہ ڈالو اور یاد کرو احسان اللہ کا اپنے اوپر جب کہ تھے۔
اس سے کافی پہلے انگریز ہندوستان پر اپنا قبضہ جما چکے تھے اور مسلمانوں کے اقتدار کو مٹا کر انہیں سب سے زیادہ ظلم و زیادتی کا نشانہ بنا رہے رہے تھے۔
اس سے کان لگا کر چوری چھپے اس آواز کو سننے کی کوشش نہ کرنی چاہیے جو اس مکان میں گانے بجانے اور راگ رنگ وغیرہ کے پیدا ہونے کا سبب ہے۔
اس سے ہم اپنی معاشرتی زندگی میں محفل نشینی کے انداز و ادا کو بھی سمجھ سکتے ہیں اور گفتگو کے اس معاشرتی اسلوب کو بھی جس میں شگوفہ چھوڑنا آتا ہے۔
اس سے ہم نتیجہ اخذ کریں ہمارے معاشرے کی سب سے بڑی کمزوری یہ ہے کہ ہم لوگ آئندہ کے لئے احتیاط اور اخذ نتائج کے عمل سے اکثر محروم رہتے ہیں۔
اس سے یہ بات معلوم ہوئی کہ غسل محض دخول حشفہ سے واجب ہو جائے خواہ انزال ہو یا نہ ہو، اس طرح ان دونوں حدیثوں میں تعارض پیدا ہو گیا ہے۔
اس سے یہ بات واضح ہوتی ہے کہ اللہ کی طرف غضب و غصہ کی نسبت کرنا جیسا کہ ایک موقع پر فرمایا گیا ہے کہ من لم یسال اللہ یغضب علیہ۔
اس سے یہ بات واضح ہوتی ہے کہ قرآن مجید، سیرت پاک اور حدیث شریف کا ساتھ ساتھ مطالعہ اور اس پر عمل آوری ہمارے لئے غایت حیات اور باعث نجات ہے۔
اس سے یہ بات پوری طرح واضح ہو جاتی ہے کہ چٹر جی کے نزدیک ’’ہندی‘‘ یا ’’ہندوی‘‘ اردو زبان کا ہی قدیم نام ہے اور یہی زبان (یعنی اردو) ’’ہندوستھانی‘‘ ہے۔
اس سے یہ ثابت ہوتا ہے کہ مغربی تہذیب میں عرصہ دراز گزارنے والے مسلمانوں کے دلوں میں اپنے نبی کی عزت اور توقیر میں ذرا برابر بھی کمی واقع نہیں ہوئی۔
اس سے یہ ظاہر ہوتا ہے کہ شاعری بہت ہی اعلا و ارفع فن ہے اور بڑے سے بڑے شاعر کے پورے کلام کا اس معیار پر پورا اترنا ممکن نہیں ہے۔
اس سے یہ قیا س ہو سکتا ہے کہ اس زمانے میں (کم از کم اس گرد و نواح میں ) مثنوی رومی شاید وقت کی مقبول ترین کتابوں میں نہ تھی۔
اس سے یہ مطلب آخر کیسے نکل آیا کہ پہلا قبلہ "العلم" کے مطابق مقرر نہیں کیا گیا تھا اور صرف یہ دوسرا قبلہ ہی اس کے مطابق مقرر کیا گیا ہے۔
اس شخص نے کہا کہ ہرگز نہیں آپ نے فرمایا تو پھر اجازت حاصل کر کے اس کے پاس جایا کرو اس روایت کو امام مالک نے بطریق ارسال نقل کیا ہے۔
اس شخص کی مانند ہو سکتا ہے جس کا حال یہ ہو کہ (وہ جہالت اور گمراہی کے) اندھیروں میں (اس طرح گھرا) پڑا ہے کہ اس سے نکل ہی نہیں سکتا۔
اس شمارے سے ہم یہاں بھی یہ اضافہ کر رہے ہیں کہ ان کتابوں کی فہرست یہاں بھی دستیاب ہو جو مکمل ہو چکی ہیں اور ڈاؤن لوڈ کے لیے فراہم ہیں۔
اس شہر میں قید خانہ شہر سے با ہر ہے اور حوالات شہر کے اندر ان دونوں جگہوں میں اس قدر آدمیوں کو جمع کر دیا گیا ہے کہ معلوم ہوتا ہے۔
اس شہر میں ہو جنبش لب کا کسے یارا یاں جنبش مژگاں بھی گنہگار کرے ہے تو لاکھ فراز اپنی شکستوں کو چھپائے یہ چپ تو ترے کرب کا اظہار کرے ہے۔
اس صورت حال سے نمٹنے کے لیے اردو والوں نے مسلم مذہبی اداروں کا سہارا لیا اور اپنے تمام وسائل ان اداروں کے فروغ اور ان کی بقا کے لیے جھونک دیے۔
اس صورت حال کے علاوہ تقسیم کے بعد مسلم فرقے کی شناخت کے مسئلے نے جو رخ اختیار کیا اس کے باعث اردو کی ترقی کے لیے ماحول سازگار نہ رہ سکا۔
اس صورت میں اس نے رخصت پر نہیں بلکہ حقیقت میں عزیمت پر عمل کیا، کیونکہ اگر کوئی مباح عمل حرام کا وسیلہ بنے تو وہ بھی حرام ہے، شرعی قائدہ ہے۔
اس صورت میں اس کے معنی یہ ہوں گے کہ رسول اللہ صلی اللہ علیہ و سلم نے تو ستۃ ایام فرمایا ہے یا سبعہ ایام اور اللہ ہی بہتر جانتا ہے۔
اس صورت میں اوپر کا حصہ تو تباہ ہونا ہی تھا مگر یہاں تو پوری بلڈنگ چند منٹوں میں زمین بوس ہو گئی اور اس کا نام و نشان ہی مٹ گیا۔
اس صورت میں اگر اس کی وجہ سے کسی کو کوئی تکلیف پہنچتی ہے تو اس ہوا سے دل برداشتہ ہونا اور اس کو برا بھلاکہنا نہ صرف نہایت ناموزوں بات ہے۔
اس صورت میں ترجمہ یوں ہو گا کہ میں ہمیشہ اس بات کی طرف متوجہ رہتا ہوں کہ میرا تہبند آنحضرت صلی اللہ علیہ و سلم کی منشاء کے مطابق اونچا ہے۔
اس صورت میں تمہارا شمار گویا ان لوگوں کے زمرہ میں ہوگا جو وہاں موجود ہی نہ ہو، اور جن کی آنکھوں کے سامنے اس گناہ کا ارتکاب نہ ہو رہا ہو۔
اس صورت میں حضرت ابوبکر رضی اللہ عنہ کا اس وقت خلاف معمول باہر آنا دل را بدل رہ یست، حضور اکرم صلی اللہ علیہ وسلم کے قلب اطہر کا اثر تھا۔
اس صورت میں وفات کی عدت ساقط ہو گئی لہذا جس طرح طلاق کی عدت پوری ہو جانے پر اگر مرد زندہ ہوتا تو وہ عورت کا وارث نہیں ہو سکتا تھا۔
اس صورت میں وہ منکوحہ عورت اس شخص کے حق میں مشتبہ ہو گئی کیونکہ ایک طرف تو عورت کا بیان ہے کہ میں نے چونکہ ان دونوں کو دودھ پلایا ہے۔
اس صورت میں چند خاص لوگ یا حلقے ان سے متاثر ہوئے ہوں گے تو ان کا دائرہ از حد محدود تھا جس کا علم عام حلقوں کی دسترس سے باہر تھا۔
اس صورت میں ہمیں یہ کہنا ہو گا کہ آسمان چپٹی زمین کی چھت ہے جس میں ہمارے اوپر ستارے اور سیارے بکھرے ہوئے ہیں جس طرح کمرے کی چھت میں پنکھا۔
اس صورت میں یہ جملہ اس سے ذمہ ختم ہو گیا کا مطلب یہ ہو گا کہ اس غلام کو بھاگنے کے جرم میں جائے تو نہ صرف یہ کہ جائز ہے۔
اس صورت پر بھی بہت کم عمل کیا گیا اور اگر کبھی کسی بہت ہی سرکش دشمن کو غلام بنایا گیا تو اسے اطاعت قبول کر لینے پر آزاد کر دیا گیا۔
اس طرح اس حدیث میں بھی کوئی وضاحت نہیں کی گئی ہے کہ آپ صلی اللہ علیہ و سلم ظہر کی نماز میں سورہ واللیل اذا یغشی کس رکعت میں پڑھتے تھے۔
اس طرح اس فتنہ کی ظلمت ہر شخص کے دل و دماغ پر اثر انداز ہوگی اور ہر ایک کے قوائے فکر و عمل پر تاریک سایہ بن کر چھا جائے گی۔
اس طرح اس لفظ کا مطلب یہ ہو گا کہ آئندہ نماز کے لیے چلنے میں اس طرح جلد نہ کرنا بلکہ صبر و سکون اور اطمینان و وقار کے ساتھ چلو۔
اس طرح اس کا نظام اخلاق ترقی پذیر تو ضرور رہے گا مگر اس کے اصول اخلاق تغیر پذیر نہیں ہوں گے اور نہ اس کی سیرت ہی تلوّن پذیر ہو گی۔
اس طرح اسلام زندگی کے راہبانہ تصور کو رد کر دیتا ہے اور انسان کے لیے روحانی ترقی کا راستہ دنیا کے باہر سے نہیں بلکہ اس کے اندر سے نکالتا ہے۔
اس طرح بعض حدیث میں مصداق حوض بتایا گیا ہے، جس سے اہل ایمان جنت میں جانے سے قبل نبی صلی اللہ علیہ و سلم کے دست مبارک سے پانی پئیں گے۔
اس طرح بیٹے کی باپ کے لئے پس اکثر علماء ان دونوں کی ایک دوسرے کے لئے شہادت کو ناجائز قرار دیتے ہیں لیکن بعض اہل علم اس کی اجازت دیتے ہیں۔
اس طرح توحید کی تعلیم کے بعد اپنی رسالت کی تلقین کی اور فرمایا میں تمہاری طرف اللہ کا رسول علیہ السلام بن کر آیا ہوں اور میں امانت دار بھی ہوں۔
اس طرح جب تک ریختہ بن سنور کر اردوئے معلّی کے سیج پر بن سنور کر نہیں آتی، وہ ہندی گوپی اور انگریزی لیڈی کے ساتھ آنکھ مچولی کا کھیل کھیلتے رہیں۔
اس طرح دسویں صدی ہجری سے لے کر تیرھویں صدی تک کی زبان ولی کے کلام میں موجود ہے، یہ وہ تعمیری صلاحیت ہے جس کی داد ہمیشہ دی جاتی رہے گی۔
اس طرح دیکھا جائے تو اس کانفرنس نے تعلیمی نفسیات، ملک کی لسانی تکثیریت اور وفاقی سیاست کو نظر میں رکھتے ہوئے زبان کے سوال پر قابل عمل تجاویز پیش کیں۔
اس طرح زمانے بھر کو معلوم ہو جائے گا کہ مذہب باطنیہ دلوں ‌پر کس قدر گہرا اثر ڈالتا ہے کہ انسان اپنے عزیزو اقارب، استادو مرشد تک کی پروا نہیں کرتا۔
اس طرح سے بہت سے مستشرقین ایسے بھی وجود میں آئے جن کا کوئی علمی و تحقیقی پس منظر نہیں تھا اور نہ ہی وہ علمی دنیا کی اخلاقیات سے واقف تھے۔
اس طرح عالم انسانی کے بیشتر حصہ نے اپنے وہ تمام اخلاقی اوصاف اگل کر منظر عام پر رکھ دیئے ہیں جنہیں وہ مدتوں سے اندر ہی اندر پرورش کر رہا تھا۔
اس طرح مجھے وحشت کے جال نے سب خواب میرے ڈوب گئے اس ملال میں مجھ سے نظر چرا کے گزرنے لگی ہوا آنے لگی جو ہجر کی خوشبو وصال میں ہوں۔
اس طرح مدینہ ان کے شر سے پاک ہوا، اب یہود میں صرف بنو قریظہ مدینہ میں رہ گئے تھے اور کیونکہ انہوں نے اپنے معاہدے کی خلاف ورزی نہیں کی تھی۔
اس طرح مذہب اور فلسفہ و سائنس کی غیریت بلکہ تضاد و تصادم کو ختم کر کے انسانی علم و فکر کو وحدت اور ترقی کی راہ پر گامزن کر دیا گیا۔
اس طرح وہ ایک ایسی لافانی سیاسی طاقت بھی ہے جو انسانوں کے عام فائدے، عام بہتری اور عام تنظیم کے لئے حکومت وسیاست سے اپنے تعلق کو برملا اظہار کرتی ہے۔
اس طرح کہ ایک شخص اٹھ کھڑا ہو اور دوسروں کے دکھانے کیلئے کوئی دینی کام کرے (یعنی ریا کاری) اس کی اسناد غریب ہے اور اس میں بعض راوی ضعیف ہیں۔
اس طرح کہ پہلی رکعت میں تو قرأت سے پہلے تکبیر تحریمہ سمیت چار تکبیریں کہتے تھے اور دوسری رکعت میں قرأت کے بعد رکوع کی تکبیر سمیت چار تکبیریں کہتے تھے۔
اس طرح کہ پہلی رکعت میں تو قرات سے پہلے تکبیر تحریمہ سمیت چار تکبیریں کہتے تھے اور دوسری رکعت میں قرات کے بعد رکوع کی تکبیر سمیت چار تکبیریں کہتے تھے۔
اس طرح کی بات شکیل الرحمن نے بھی لکھی ہے کہ ’’اردو زبان ایسے وقت میں سہارا نہ دے سکی تو وہ اس سے کسی حد تک بدگمان بھی ہو گئے تھے۔
اس طرح کے خوب صورت گھر کا خواب ان کے ساتھ فاطمہ نے بھی دیکھا تھا اور پھر زندگی بھر اس نے اس خواب کی تعبیر کی جدوجہد میں ہاتھ بٹایا تھا۔
اس طرز پر اسلام کے ماننے والوں کا پایا جانا اسلام کے "عملی وجود" کو بروئے کار نہیں لا سکتا خواہ تعداد کے لحاظ سے وہ جم غفیر ہی کیوں نہ ہوں۔
اس طریقے سے وہ دین کو مضبوط و محفوظ بنا سکیں گے اور دشمنوں کے حملوں سے بچا کر آفات و حوادث کے موقع پر امت کی ضروریات پوری کر سکیں گے۔
اس طریقے نے اتنی اہمیت اختیار کی کہ محدثین کسی ایسے شخص سے حدیث کو قبول نہ کیا کرتے تھے جو کتاب کو بغیر استاد کے پڑھ کر حدیث روایت کرتا ہو۔
اس طریقے نے یہ وسعت حاصل کی کہ بیرونی لوگ بھی اپنے نیچے اسی قسم کے جاگیردار اور علاقہ دار رکھتے تھے اور سلسہ بسلسلہ بہت سے طبقے قائم ہو گئے تھے۔
